"id","original_title","popularity","video","adult","imdb_id","backdrop_path","belongs_to_collection","budget","homepage","original_language","overview","poster_path","release_date","revenue","runtime","status","tagline","title","vote_average","vote_count"
567006,甲鉄城のカバネリ～海門決戦～,81.315,false,false,tt10253816,/m8dzPu2ijeu1aQBoHhb14hzjCly.jpg,,0,http://kabaneri.com/,ja,"Half a year after the events of the series ""Kabaneri of the Iron Fortress"", the team attempt to take back Unato castle.",/1O5jE1w2wYkFInDHnWYa91TemOO.jpg,"2019-05-10",0,82,Released,null,Kabaneri of the Iron Fortress: The Battle of Unato,,
106,Predator,57.738,false,false,tt0093773,/x6aNbv9hCgBolIbnwlocwzhS9Eq.jpg,,15000000,https://www.20thcenturystudios.com/movies/predator,en,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.,/iieEddHTv5zzTyr7OnN5ULOu7bI.jpg,"1987-06-12",98267558,107,Released,Soon the hunt will begin.,Predator,,
176,Saw,60.512,false,false,tt0387564,/4QGrZLj7cAuHu53hJbnap5PT6ER.jpg,,1200000,null,en,"Obsessed with teaching his victims the value of life, a deranged, sadistic serial killer abducts the morally wayward. Once captured, they must face impossible choices in a horrific game of survival. The victims must fight to win their lives back, or die trying...",/pparEGTCxcTiImyVFoKD0LX11N8.jpg,"2004-10-01",103911669,103,Released,Live or die. Make your choice.,Saw,,
497,The Green Mile,50.548,false,false,tt0120689,/l6hQWH9eDksNJNiXWYRkWqikOdu.jpg,,60000000,http://thegreenmile.warnerbros.com/,en,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people`s ailments. When the cell block`s head guard, Paul Edgecomb, recognizes Coffey`s miraculous gift, he tries desperately to help stave off the condemned man`s execution.",/velWPhVMQeQKcxggNEU8YmIo52R.jpg,"1999-12-10",286801374,189,Released,Miracles do happen.,The Green Mile,,
603,The Matrix,372.48,false,false,tt0133093,/ncEsesgOJDNrTUED89hYbA117wo.jpg,,63000000,http://www.warnerbros.com/matrix,en,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",/f89U3ADr1oiB1s9GkdPOEpXUk5H.jpg,"1999-03-30",463517383,136,Released,Welcome to the Real World.,The Matrix,,
812,Aladdin,63.33,false,false,tt0103639,/5OeY4U2rzePxWq2rkqMajUx2gz7.jpg,,28000000,http://movies.disney.com/aladdin,en,"Princess Jasmine grows tired of being forced to remain in the palace, so she sneaks out into the marketplace, in disguise, where she meets street-urchin Aladdin.  The couple falls in love, although Jasmine may only marry a prince.  After being thrown in jail, Aladdin becomes embroiled in a plot to find a mysterious lamp, with which the evil Jafar hopes to rule the land.",/oakAd8syy7jNQ4ZoaAGCQkTqcOV.jpg,"1992-11-25",504050219,90,Released,Wish granted!,Aladdin,,
888,The Flintstones,55.963,false,false,tt0109813,/4byUSbNrjqCSjqVYrJU6AxqyZYr.jpg,,46000000,null,en,Modern Stone Age family the Flintstones hit the big screen in this live-action version of the classic cartoon. Fred helps Barney adopt a child. Barney sees an opportunity to repay him when Slate Mining tests its employees to find a new executive. But no good deed goes unpunished.,/ocsb0qiGlcn6UlcDRHa3xxSCc8Y.jpg,"1994-05-26",341631208,91,Released,Yabba-Dabba-Doo!,The Flintstones,,
1927,Hulk,57.757,false,false,tt0286716,/kYd1ZMWvG9K2Jeop3XWXcTpJ2dB.jpg,,137000000,null,en,"Bruce Banner, a genetics researcher with a tragic past, suffers massive radiation exposure in his laboratory that causes him to transform into a raging green monster when he gets angry.",/qnngKqAcqfH2pBxDoKu5lxzSbTo.jpg,"2003-06-19",245360480,138,Released,Unleash the hero within.,Hulk,,
4247,Scary Movie,99.732,false,false,tt0175142,/m5dA4JZsj78EBTa2D6imWOAebwB.jpg,,19000000,null,en,"A familiar-looking group of teenagers find themselves being stalked by a more-than-vaguely recognizable masked killer! As the victims begin to pile up and the laughs pile on, none of your favorite scary movies escape the razor-sharp satire of this outrageously funny parody!",/lRQiJXETkCnVVurHmglNvMXrZOx.jpg,"2000-07-07",278019771,88,Released,No mercy. No shame. No sequel.,Scary Movie,,
3170,Bambi,88.767,false,false,tt0034492,/cNHXm0Bv5GpatBOliHt9UdsyVFW.jpg,,858000,http://movies.disney.com/bambi,en,"Bambi`s tale unfolds from season to season as the young prince of the forest learns about life, love, and friends.",/wV9e2y4myJ4KMFsyFfWYcUOawyK.jpg,"1942-08-14",267447150,70,Released,A great love story.,Bambi,,
