"films_id","genre_id"
634649,28
634649,12
634649,878
460458,27
460458,28
460458,878
624860,12
624860,28
624860,878
580489,878
580489,28
580489,12
512195,28
512195,35
512195,80
512195,53
438695,16
438695,35
438695,10751
438695,10402
425909,35
425909,14
425909,12
787310,28
787310,53
787310,80
826749,80
826749,28
826749,53
818192,80
818192,53
818192,18
818192,28
524434,28
524434,12
524434,14
524434,878
585245,16
585245,35
585245,10751
1930,28
1930,12
1930,14
728526,12
728526,18
589761,18
589761,36
589761,12
592508,28
592508,18
592508,80
617653,18
617653,36
843241,16
843241,14
770254,16
770254,10751
770254,12
770254,35
516329,18
516329,27
516329,9648
657644,28
657644,12
657644,35
102382,28
102382,12
102382,14
831827,16
831827,10751
370172,12
370172,28
370172,53
635302,16
635302,28
635302,12
635302,14
438631,878
438631,12
774741,16
774741,35
774741,10751
811072,53
811072,27
831223,10770
831223,53
831223,80
656991,80
656991,18
656991,53
763148,10749
763148,18
557,14
557,28
559,14
559,28
559,12
429617,28
429617,12
429617,878
522402,878
522402,18
522402,12
744275,10749
744275,18
887767,37
887767,28
887767,53
335797,16
335797,35
335797,10751
335797,10402
877183,16
877183,35
877183,14
459151,16
459151,35
459151,12
459151,10751
385128,28
385128,80
385128,53
385128,12
754067,12
754067,10751
754067,18
523936,27
523936,878
523936,18
523936,53
299536,12
299536,28
299536,878
592350,16
592350,28
592350,14
592350,12
497698,28
497698,12
497698,878
637649,28
637649,80
637649,53
508943,16
508943,35
508943,10751
508943,14
763164,28
763164,53
763164,878
589754,14
589754,12
589754,35
609972,27
609972,9648
609972,53
451048,12
451048,14
451048,35
451048,28
703771,16
703771,28
703771,12
703771,878
893164,10751
893164,14
893164,35
337404,35
337404,80
675445,16
675445,10751
675445,12
675445,35
876262,28
611651,27
460465,28
460465,14
460465,12
568620,28
568620,12
585083,10751
585083,16
585083,14
585083,35
585083,12
876716,16
876716,35
876716,10751
876716,14
895001,27
755437,35
755437,10751
324857,28
324857,12
324857,16
324857,878
324857,35
399566,28
399566,14
399566,878
670429,14
670429,27
670429,53
670429,18
896221,16
896221,14
896221,10751
639721,16
639721,12
639721,35
639721,10751
672582,27
630004,80
630004,28
630004,53
775943,27
775943,18
716810,80
716810,18
610253,27
610253,53
776821,53
776821,80
776821,28
776821,12
864390,16
767377,53
767377,18
767377,80
618162,37
796499,80
796499,35
785538,18
785538,80
613504,10749
613504,18
793967,27
793967,53
24428,878
24428,28
24428,12
588228,28
588228,878
588228,12
768447,53
768447,27
581726,878
581726,28
581726,53
633802,10749
633802,27
633802,53
839436,27
839436,14
839436,9648
645886,18
645886,80
849938,10770
849938,53
537915,10749
537915,18
505262,16
505262,28
505262,12
505262,14
726684,16
726684,35
726684,10751
726684,12
700127,35
700127,10749
700127,14
820511,27
527774,10751
527774,14
527774,16
527774,28
527774,12
763025,28
574060,28
574060,80
574060,53
675319,878
675319,53
675319,9648
813258,16
813258,35
813258,14
335983,878
335983,28
881211,16
881211,10751
737676,35
737676,27
525660,28
525660,12
525660,14
859041,28
520763,878
520763,53
520763,27
654974,10751
654974,35
423108,27
423108,9648
423108,53
755812,16
755812,10751
755812,35
755812,12
755812,10770
453354,18
464052,28
464052,12
464052,14
576845,53
576845,27
576845,9648
768449,28
524369,80
524369,18
882093,10751
882093,14
882093,35
763152,35
763152,10749
458576,28
458576,14
458576,12
317442,28
317442,10749
317442,16
99861,28
99861,12
99861,878
675353,28
675353,878
675353,35
675353,10751
672,12
672,14
20982,16
20982,28
20982,14
539885,28
539885,80
539885,18
539885,53
762879,10751
762879,35
762879,14
762879,10770
632357,27
522444,27
522444,53
522444,12
522444,9648
12445,14
12445,12
674,12
674,14
674,10751
12444,12
12444,14
13811,28
13811,9648
13811,878
13811,53
673,12
673,14
284052,28
284052,12
284052,14
284052,878
785545,16
785545,35
785545,10751
588921,12
588921,16
588921,10751
588921,14
671043,35
829358,27
324786,18
324786,36
324786,10752
676840,27
767,12
767,14
347201,16
347201,28
347201,35
805411,10770
805411,16
805411,35
805411,10751
805411,18
637534,53
112679,35
112679,28
719088,16
719088,18
719088,10749
271110,12
271110,28
271110,878
672322,28
672322,12
672322,18
619297,28
637693,16
637693,12
637693,10751
637693,37
645788,28
602223,27
602223,28
602223,53
772436,28
772436,35
772436,12
385687,28
385687,80
675,12
675,14
675,9648
573164,16
573164,35
641501,878
641501,12
641501,9648
641501,28
641501,53
641501,14
641501,35
706972,28
706972,18
706972,80
508442,16
508442,35
508442,14
508442,10751
503736,28
503736,80
503736,27
503736,53
871964,27
871964,53
871964,35
882098,35
767304,28
861057,27
861057,28
587807,35
587807,10751
587807,16
644495,18
644495,80
644495,53
714968,53
198663,28
198663,9648
198663,878
198663,53
615457,28
615457,80
615457,53
799844,35
799844,10749
846214,16
846214,35
846214,10751
831405,16
831405,878
831405,14
831405,28
760747,28
760747,35
760747,53
760747,27
467037,35
766105,10749
766105,18
634528,28
634528,53
634528,80
595743,18
595743,28
595743,53
765245,18
765245,878
784500,16
784500,28
784500,12
784500,35
784500,18
784500,14
784500,10749
843906,16
843906,35
843906,9648
843906,10751
843906,14
603,28
603,878
882206,16
882206,10751
554594,10402
554594,16
604822,28
604822,12
604822,80
669671,27
669671,53
669671,28
852590,35
852590,10749
614917,18
614917,36
835551,53
354912,10751
354912,16
354912,14
354912,10402
354912,35
354912,12
825997,28
825997,53
729720,28
729720,35
615666,10751
615666,12
615666,14
24021,12
24021,14
24021,18
24021,10749
529106,28
529106,12
25769,28
25769,18
25769,27
25769,878
25769,53
454626,28
454626,878
454626,35
454626,10751
874948,53
284053,28
284053,12
284053,14
284053,878
283566,16
283566,28
283566,878
283566,18
38575,28
38575,12
38575,18
38575,10751
400155,10751
400155,14
400155,35
400155,16
38234,28
38234,53
517088,18
517088,36
586047,878
586047,28
8960,14
8960,28
43074,28
43074,14
43074,35
664236,16
664236,35
664236,10751
664236,12
859860,37
859860,28
619778,53
619778,27
619778,9648
846167,80
846167,35
846167,878
840283,18
840283,36
850818,16
850818,10402
850818,10751
866408,18
866408,878
841755,16
841755,28
841755,14
72331,28
72331,14
72331,27
790523,10749
790523,35
542178,18
542178,35
542178,10749
590706,28
590706,878
590706,14
330457,10751
330457,16
330457,12
330457,35
330457,14
293660,28
293660,12
293660,35
372058,10749
372058,16
372058,18
571891,16
571891,12
571891,14
571891,28
571891,10751
10195,12
10195,14
10195,28
449406,16
449406,10751
449406,35
725273,878
384018,28
384018,12
384018,35
615658,18
615658,878
615658,53
597316,16
597316,10751
597316,14
597316,35
597316,10402
597316,12
550205,16
550205,10751
550205,35
550205,14
15092,28
15092,53
15092,80
14161,28
14161,12
14161,878
662708,16
662708,12
4564,35
4564,18
4564,10749
122917,28
122917,12
122917,14
337401,12
337401,14
337401,18
848932,10749
1865,12
1865,28
1865,14
537116,18
810693,16
810693,28
810693,12
810693,9648
59440,18
59440,28
22832,28
675024,27
22894,27
22894,28
22894,14
68721,28
68721,12
68721,878
854442,53
854442,10770
854442,18
779611,16
779611,10751
623135,35
623135,18
834404,16
834404,28
834404,12
834404,35
834404,10751
834404,14
834404,878
818647,18
818647,10749
57214,35
649928,16
649928,12
649928,10751
808,16
808,35
808,14
808,12
808,10751
27205,28
27205,878
27205,12
743439,10751
743439,16
740925,27
740925,53
740925,9648
597890,878
597890,53
597433,80
597433,9648
597433,53
741074,16
741074,10751
741074,35
741074,14
862,16
862,12
862,10751
862,35
522478,10751
522478,35
522478,12
522478,16
522478,14
13475,878
13475,28
13475,12
