"id","user_id","movie_id","content_review"
2207,1,118,"I loved it and I would **rate** it 5/5 for the best child’s fiction <a href=""https://www.scholarlywriteups.com/charlie-and-the-chocolate-factory/"">book</a>. Why? Because it has lessons, we all need to learn. We have become so materialistic and driven with the energy of getting everything fast, we have lost the essence of our lives and the importance of kindness. It’s a book you not only want to gift to your kids, but you want to read yourself as well."
2208,1,129,"One of the great ""masters"" of the anime art. Somehow, if I would personally associate ""Akira"" to ""self-destruction"", then this anime would be the opposite :)"
2209,1,440,"Remember when chest busters were scary? 

This stinks, it really does, and this coming from a man who owns and loves many a cheese filled B/Z movie. Although I would in no way say that AVP: Alien vs. Predator (2004) was a good movie, I have a tiny soft spot and found it watchable at least, this hack job makes that film seem like the pinnacle of creature feature nirvana. 

A Predator ship encounters problems on board by way of a newly born predator/alien hybrid, it crash lands on Earth (America) and thus Requiem is born as face huggers go crazy, aliens run amok, predator fights back, and the cast of genre stereotypes kill or be killed, the end! All the makers have done here (apart from attempting to kill off the franchise it seems) is splice together various staples from the other films in the series. Be it the settings or confrontations, they have just upped the blood quota, the film has no substance what so ever. Characters so dense and unlikeable you root for the monsters by way of having no choice, dumb teens in angst, Rambo mom, ex-convict trying to do good, you name it and chances are you have seen it in other rubbish murder death kill movies. 

There is gore galore which I`m sure will appease the easily pleased, and in one particularly monstrous scene involving a pregnant woman, a sequence for the squeamish to chat on the playground about come Monday morning. But you honestly would be better off watching some cheap no budget slasher film from the 70s, because unlike the money backed hack directors here, they had an excuse back then. Drek 1/10"
2210,1,440,"Out of all the _Alien_ and _Predator_ franchise, a series stretching out for nearly 40 years, a cultural phenomenon that has wormed its way into all manner of media, and has produced no less than eleven official movie entries, _Aliens vs Predator: Requiem_ is the worst. It`s so blatantly obviously the worst that I don`t think any _Alien_ or _Predator_ or even _Alien vs Predator_ movie that we ever see from now until the end of time will ever unseat it as the worst.

_Final rating:★½: - Boring/disappointing. Avoid where possible._"
2211,1,585,"Always a pleasure to revisit this. <em>`Monsters, Inc.`</em> is one of my favourite Disney animated films.

The cast and characters are what sets this above the majority of the studio`s other work, with so many memorable ones involved. John Goodman (Sully) and Billy Crystal (Mike) make for an outstanding duo in the lead roles, they are truly perfect for their respective roles.

Elsewhere, you have the excellent Steve Buscemi portraying Randall to terrific effect. There are also memorable roles for James Coburn (Waternoose), Jennifer Tilly (Celia) and Bob Peterson (Roz). You, of course, also have Boo (Mary Gibbs) who is simply adorable.

Everything else from the plot to the animation is fantastic, too - I have no faults with this film. Funny, wholesome, entertaining and touching. I see they`re creating a television series, <em>`Monsters at Work`</em>, which could be good given it will have the same cast.

A must-watch!"
2212,1,808,"Shrek is a masterpiece! It helped subvert the Disney Renaissance formula with great humor and heart. Myers, Murphy, Diaz and Lithgow did a great job voicing the characters. Now that this film is 20 years old, I am glad it existed."
2213,1,1927,"Ang Lee helped revolutionize superhero related films forever with Hulk (2003). Rather than just have the hero try to save the world, Lee and James Schamus decided to have Bruce Banner deal with his Freudian psychology, specifically the repressed memories he had thirty years ago about his father.

The acting talents of Eric Bana, Jennifer Connelly, Nick Nolte, Sam Elliott and Josh Lucas are perfect for the five main characters. Bana was able to do intentional wooden acting to hide his character`s repressed emotions while Connelly conveyed kindness as her Oscar winning role from A Beautiful Mind (2001).

What I loved about Lee`s interpretation is that he did not care about faithfulness. He cared about showing a cerebral kind of superhero film that later got imitated with The Dark Knight Trilogy (2005-2012), Watchmen (2009), Logan (2017), Dawn of Justice (2016) and Suicide Squad (2016).

Ang Lee is one of the best directors to have ever lived and Hulk is one of many films he directed for great proof."
2214,1,1927,"The Green Giant is awakening!
As a little baby, the Offspring Bruce Banner Genmanipulativ is changed. Later, as a young man, he is a scientist himself and is employed with gamma radiation. He wants to try to reach scar tissue and injuries, using the radiations, a healing method. Through an accident with the radiation, banners mutate when he has a tantrum, to a Green Giant: the Hulk!
Eric Bana plays the shy and vulnerable Bruce banner. Although he does not really trust the role, he mastered the insecurity in person, sovereign. 
Jennifer Connelly plays Betty Ross. Connelly embodies Betty cool and sober. It is only when she experiences how banners mutate that she shares a helping emotion.
Josh Lucas plays Glen Talbot. Talbot is fully fixated on his career and is a smug Sesselfurzer. He wants to develop the invention of banners for the military and thus create super soldiers. He has every means right for that. Lucas was arranged as a little villain. Unfortunately, he doesn`t necessarily come across like that.
The military commander Ross, is portrayed by Sam Elliott. Elliott plays his character cool and iron. He really wants to protect his country. That is why he acts defending and patriotic for his country. 
Although Nick Nolte has at least playtime, he plays his role most deeply. The few minutes of presence, is a pleasure of acting. 
The visual language of the director Ang Lee is very special. His idea of using certain settings as a split screen is also closer to the Marvel Comics. So that you really also realize the Hulk is a comic book template. 
The effects from the year 2003 are good, but you can already notice certain Unperfektheiten.
The animations are still kitschy. Which seems a bit ridiculous, too. The story leaves a lot to miss. On the one part, because Hulk belongs in the MCU, here the humor and sarcasm is very rare to see. The colourful and colourful MCU can not be classified here. The story is portrayed here rather as a fantasy drama. Which then looks rather dull for a comic book template. 
In the last third, it is right to the point and it is going to be quite an effect thunderstorm. It`s really a pity that you have to wait more or less until the end until the Hulk drops off steam. 
Conclusion: A down-to-earth stand of the character hulk of Marvel Comics. Unfortunately, it diminishes the story through seriousness and dramaturgy that happens!"
2215,1,1927,"I mean, what was everyone expecting? They hired a director who does mostly Asian art-house movies to helm a comic book movie about a green monster who smashes things when he gets angry. Of course Ang Lee was going to delve into Freudian concepts, overtones of Greek tragedy, and strange editing choices.

My issues with Hulk are more focused on its painfully slow pace and messy third act. Yes, the whole movie seems a bit pretentious, but you have to at least admire the intent and ambition to make this movie, even if the execution is wonky."
2354,1,87827,"Visually, this movie traps yourself from the beginning to the end.

The story is really deep and moving and the performances are plainly good.

A must to be seen."
